,Ticker,Reported_Earnings,Estimate_Consensus,Estimate_Mean,Wall_Street_Conses
0,GNC,-0.07,0,0.01,-0.52
1,PAG,1.25,1.21,1.23,1.20
2,ABG,2.53,2.39,2.35,2.35
3,SYX,0.30,0.26,0.25,0.25
4,MNRO,0.51,0.53,0.52,0.51
5,HZO,0.38,0.40,0.40,0.37
6,ORLY,4.25,4.17,4.29,4.25
7,RCII,0.58,0.57,0.49,0.57
8,HVT,0.40,0.35,0.35,0.33
9,MUSA,1.54, , , 
10,AAN,1.15,1.07,1.05,1.06
11,GPI,3.01,2.77,2.73,2.76
12,SAH,0.97,0.92,0.94,0.89
13,FND,0.26,0.21,0.22,0.22
14,CVNA,-0.79, , , 
15,XOXO,0.19,0.19,0.18,0.18
16,LL,0.56,0.33,0.27,0.49
17,CWH,-0.35,-0.26,-0.02,-0.26
18,L,0.73, , , 
19,MED,1.19,1.08,1.10,1.11
20,VSI,0,0.12,0.12,0.10
21,TA,-0.89,4.03,2.10,5.57
22,FTD,, , , 
23,ODP,1.20,0.96,0.97,0.86
24,PRTY,0.51,0.84,0.87,0.88
25,AAP,1.64,1.40,1.40,1.36
26,SBH,0.58,0.54,0.54,0.53
27,SQBG,-5.60,2.79,4.13,2.80
28,CRMT,2.01,1.87,1.83,1.77
29,HD,2.28,2.15,2.17,2.11
30,BKS,-0.26,-0.07,-0.10,-0.09
31,LOW,0.94,0.94,0.93,0.91
32,TJX,0.59,0.67,0.70,0.70
33,LB,1.88,1.85,1.91,1.90
34,SCVL,0.12,0.10,0.08,0.11
35,PLCE,1.85,1.58,1.58,1.72
36,SSI,-0.15, , , 
37,CATO,-0.13, , , 
38,ROST,1.26,1.23,1.28,1.24
39,WSM,2.13,2.08,2.03,2.05
40,CAL,0.34,0.56,0.53,0.36
41,FL,1.63,1.61,1.61,1.58
42,HIBB,0.57,0.38,0.38,0.38
43,BKE,0.96,0.89,0.91,0.88
44,URBN,0.83,0.82,0.81,0.78
45,BBY,2.72,2.53,2.60,2.58
46,DKS,1.32,1.24,1.22,1.22
47,ANF,1.31,1.25,1.22,1.23
48,TIF,1.80,1.76,1.71,1.79
49,CHS,-0.03,-0.06,-0.05,-0.06
50,GPS,0.58,0.41,0.49,0.41
